title,current_price,original_price,discount,seller_rating,seller,brand
Dell Latitude 7470,"Rs. 50,000",,,No Ratings,IT Support Solutions PVT Limited,Dell
Dell Laptop 5400 I5 8th Generation HDD 256 Ram 8GB,"Rs. 53,000",,,No Ratings,DB technology center,Dell
"DELL Latitude 5470 Core i5-6th Generation CPU, 8GB DDR4 RAM, 256GB SSD Hard, 14 inch Display","Rs. 53,000",,,No Ratings,DB technology center,Dell
"[REFURBISHED] Lenovo Thinkpad X230 , Core i5 3rd gen 8GB Ram 500GB HDD,","Rs. 53,500",,,Ratings 19,AcePro Trading Pvt Ltd,Lenovo
"(REFURBISHED) Lenovo ThinkPad X250 i5 5th Gen 8GB Ram 500GB HDD, Wifi, Webcam","Rs. 58,250",,,Ratings 3,AcePro Trading Pvt Ltd,Lenovo
"REFURBISHED Dell Latitude E7440 Slim Business model Laptop , Core i5 8GB Ram , 500GB Hard Drive","Rs. 57,500",,,Ratings 25,AcePro Trading Pvt Ltd,Dell
Hp ELIGHTBOOK 840 G3,"Rs. 55,000",,,No Ratings,IT Support Solutions PVT Limited,HP
Hp ELIGHTBOOK 850 G4,"Rs. 55,000",,,No Ratings,IT Support Solutions PVT Limited,HP
HP ProBook 640 G2 (Used),"Rs. 55,000",,,No Ratings,Lap on Lap,HP
[REFURBISHED] Apple Mac Mini Desktop,"Rs. 129,700",,,Ratings 1,AcePro Trading Pvt Ltd,Apple
"Toshiba Z30 Core i5 8GB Ram , 256GB SSD Drive, Windows 11 Ms Office Laptop (light weight 1Kg)","Rs. 55,500",,,Ratings 11,AcePro Trading Pvt Ltd,Unspecified
"Dell Latitude E5470 14 inches HD Laptop, Core i3-6100U 2.3GHz, 8GB, 500GBHard Drive , Windows 10 Pro 64Bit","Rs. 56,000",,,No Ratings,RIGHT -WAY,Dell
DELL LATITUDE 5450 CORE I5 5TH GEN 8GB RAM 256GB SSD 14 INCH HIGH QUALITY LAPTOP,"Rs. 58,500","Rs. 96,500",-39%,No Ratings,Cyber Power LK 1637406306,Dell
[REFURBISHED] - Dell Latitude E5250 Core i5 5th Gen laptop 8GB Ram 256GB SSD Drive,"Rs. 62,500",,,Ratings 3,AcePro Trading Pvt Ltd,Dell
"(REFURBISHED) Lenovo ThinkPad T440 4th Gen i5 8GB Ram 500GB HDD, Wifi, Webcam","Rs. 58,900",,,Ratings 2,AcePro Trading Pvt Ltd,Lenovo
Lenovo ThinkPad X260 i5 6th Gen 16GB 512GB SSD portable Laptop,"Rs. 68,250",,,No Ratings,UB18 Computers Pvt Ltd,Lenovo
Lenovo Thinkpad T440 (14″) Core i5 -4th Gen,"Rs. 59,500",,,No Ratings,ONESTORE SL,Lenovo
Dell Latitude E7440 (14″) Core i5-4300u 8GB,"Rs. 59,500",,,No Ratings,ONESTORE SL,Dell
"[REFURBISHED] Fujitsu S936 i5 6th Generation slim light weight Laptop Made in Japan,","Rs. 62,500",,,Ratings 5,AcePro Trading Pvt Ltd,Unspecified
"[REFURBISHED] HP EliteBook 840 G2 i5 5th Gen Slim Business model Laptop , Win 11,","Rs. 65,500",,,Ratings 4,AcePro Trading Pvt Ltd,HP
AMD A10 7TH GEN - R556Q,"Rs. 60,000",,,No Ratings,DAM seller,Unspecified
"[REFURBISHED] - Dell Latitude E5270 Core i5 8GB Ram , 256GB SSD Drive","Rs. 61,000",,,No Ratings,RIGHT -WAY,Dell
Dell Latitude 7280 japan / Core i5-8250U @ 1.80GHz / 8 GB SSD 256 GB / 12.5 inch Built-in Webcam / HDMI,"Rs. 62,000",,,No Ratings,Flex online store,Dell
"Lenovo ThinkPad X1 Carbon Core i7 | 8GB Ram | 256GB SSD | Intel® UHD Graphics Windwos 11 Pro WiFi, Bluetooth, HDMI, USB 3.0 A Grade","Rs. 62,500","Rs. 95,500",-35%,No Ratings,PandaeKade,Lenovo
HP PROBOOK 640 G2 CORE i5 6TH GEN 8GB RAM / 256GB SSD 14'6 INCH LAPTOP,"Rs. 62,500","Rs. 155,000",-60%,No Ratings,Cyber Power LK 1637406306,HP
Dell Latitude E7270 pre owned (Core I5 – 6th Gen) (8GB RAM) (256GB SSD),"Rs. 63,500",,,No Ratings,Smart Boutiques,Dell
"[REFURBISHED] - Dell Latitude E5270 Core i5 16GB Ram , 256GB SSD Drive","Rs. 64,000",,,No Ratings,RIGHT -WAY,Dell
Lenovo ThinkPad X390 i5 8th Gen 8GB 256GB SSD Laptop,"Rs. 64,000",,,No Ratings,RIGHT -WAY,Lenovo
HP ProBook 640 G2 Core i5 6th gen 8GB-RAM / 256GB-SSD Premium Laptop,"Rs. 64,000","Rs. 85,000",-25%,No Ratings,INOFIX SOLUTIONS,HP
Lenovo Thinkpad T460 i5 6th Gen 16GB Ram 256GB SSD 14inch Full HD Laptop,"Rs. 68,400",,,Ratings 3,AcePro Trading Pvt Ltd,Lenovo
DELL LATITUDE 5400 i5 8th Gen 8GB | 256 GB NVME,"Rs. 64,500","Rs. 69,500",-7%,No Ratings,mybox,Dell
Lenovo ThinkPad T470 i5 7th Generation 8GB/16GB RAM 256GB/512GB SSD Laptop [REFURBISHED],"Rs. 68,800",,,Ratings 3,AcePro Trading Pvt Ltd,Lenovo
[REFURBISHED] HP EliteBook 840 G1 i5 4th Gen Slim Business model Laptop,"Rs. 64,500",,,Ratings 33,AcePro Trading Pvt Ltd,HP
Dell Latitude E7470 i5 6th Gen 8GB Ram 256GB SSD,"Rs. 64,900",,,No Ratings,Computer HUB,Dell
Dell Latitude 7490 laptop i5 8th gen,"Rs. 65,000",,,No Ratings,Kings Australia,Dell
Dell Latitude 7290 japan / Core i5-8250U @ 1.80GHz / 8 GB SSD 256 GB / 12.5 inch Built-in Webcam / HDMI,"Rs. 65,000",,,No Ratings,Flex online store,Dell
USED LAPTOP THINKPAD L450,"Rs. 65,000",,,No Ratings,Matheesha Computers,Lenovo
HP ProBook 640 G2 i5 6th Gen Laptop,"Rs. 69,500",,,Ratings 9,AcePro Trading Pvt Ltd,HP
Lenovo ThinkPad X390 i5 8th Gen 8GB 256GB SSD Laptop,"Rs. 65,500",,,Ratings 3,UB18 Computers Pvt Ltd,Lenovo
"[REFURBISHED] Dell Latitude E7480 , Core i5 6th Gen 8GB Ram , 256GB SSD 14inch Laptop","Rs. 85,500",,,Ratings 15,AcePro Trading Pvt Ltd,Dell
"[REFURBISHED] Toshiba Portege A30-D Core i5 16GB Ram , 256GB SSD 14inch Laptop","Rs. 66,500",,,No Ratings,AcePro Trading Pvt Ltd,Unspecified
Dell Latitude 7480 Laptop 14 - Intel Core i5 6th Gen - i5-6300U - 3Ghz - 256GB SSD - 8GB RAM,"Rs. 68,000",,,No Ratings,RIGHT -WAY,Dell
Dell Latitude 5580 quad core i7 6th Gen 16GB Ram 512GB NVME SSD 15.6inch Laptop,"Rs. 68,400",,,No Ratings,UB18 Computers Pvt Ltd,Dell
Dell Latitude E7480 i5 6th Gen 16GB DDR4 512GB SSD Laptop,"Rs. 68,500",,,Ratings 1,UB18 Computers Pvt Ltd,Dell
"Dell Latitude 3380 - i3 / 6th Gen / 8GB / 256GB SSD / 14"" (Re-New)","Rs. 68,970",,,No Ratings,IT Circle,Dell
[Refurbished] Dell Latitude 7490 Core i5 8th Gen 8GB 265GB NVME SSD,"Rs. 69,500","Rs. 75,000",-7%,No Ratings,NEW WINTEC (PVT) LTD,Dell
Lenovo ThinkPad T570 Core i5 7th Gen 16GB Ram 512GB SSD 15.6 inch Laptop Win11 Pro,"Rs. 77,500",,,Ratings 1,UB18 Computers Pvt Ltd,Lenovo
Lenovo Think Pad x270,"Rs. 69,500",,,No Ratings,AvrioTechnologies,Lenovo
HP EliteBook (pre owned 🇨🇦)840 G3 8gb/256gb,"Rs. 69,500",,,Ratings 1,Smart Boutiques,HP
Dell Latitude 7490 Core i5 8th Gen 8gb RAM 256gb SSD Brand New Slim Laptop,"Rs. 69,500","Rs. 135,000",-49%,No Ratings,Lushan enterprices,Dell
HP PROBOOK 640 G2 I5 6TH GEN LAPTOP (USED),"Rs. 69,500",,,No Ratings,Matheesha Computers,HP
DELL LATITUDE 5470 CORE I5 7TH GEN 8GB RAM 256GB SSD 14 INCH HIGH QUALITY LAPTOP,"Rs. 69,500","Rs. 110,000",-37%,No Ratings,Cyber Power LK 1637406306,Dell
DELL LATITUDE 7480 CORE I5 7TH GEN 8GB RAM 256GB SSD 14 INCH HIGH QUALITY LAPTOP,"Rs. 69,500","Rs. 168,500",-59%,Ratings 3,Cyber Power LK 1637406306,Dell
Dell Laptop Latitude E6440 i5 4th 8GB 500GB HDD 14inch Laptop,"Rs. 69,500",,,No Ratings,AcePro Trading Pvt Ltd,Dell
LENOVO i7 8CH GEN (JAPAN USED),"Rs. 70,000",,,No Ratings,MATRIX SALUTATIONS,Lenovo
"Dell Latitude 7480 14 HD Anti-Glare, Intel Core i5-7350U, 8GB DDR4, 256GB Solid State Drive, Webcam, Bluetooth, Windows 10Pro","Rs. 72,500","Rs. 125,000",-42%,No Ratings,Horizen Shopping,Dell
LENOVO ThinkPad T460S CORE I5 6TH GEN 8GB RAM 256GB SSD 14 INCH HIGH QUALITY LAPTOP,"Rs. 72,500","Rs. 110,000",-34%,No Ratings,Cyber Power LK 1637406306,Lenovo
"[REFURBISHED] Microsoft Surface Pro , i5 , 8GB Ram, 256GB SSD, 2K Resolution, Windows 11 PRO, MS Office, 6hr+ Battery life","Rs. 72,500",,,Ratings 3,AcePro Trading Pvt Ltd,Unspecified
[REFURBISHED] Lenovo ThinkPad L480 Core i5 8th Gen 14inch Laptop,"Rs. 89,750",,,Ratings 3,AcePro Trading Pvt Ltd,Lenovo
[REFURBISHED] Dell Latitude 5400 Core i5 8th Gen 16GB 512GB SSD laptop for School and online work,"Rs. 72,900",,,Ratings 10,AcePro Trading Pvt Ltd,Dell
Dell Latitude 3400,"Rs. 73,000",,,No Ratings,FUTURE TECHNOLOGIES (PVT) LTD,Dell
Dell Latitude 5490 i7 8th Gen 16GB DDR4 512GB SSD 14inch touch screen Laptop,"Rs. 76,500",,,Ratings 15,UB18 Computers Pvt Ltd,Dell
DELL Latitude E5270 – 13″ HD | Intel® Core™ i5 6th Gen | 8GB DDR4 RAM | 256GB m.2 SSD |HDMI |Win 11 Pro A Grade Laptop,"Rs. 73,500","Rs. 85,600",-14%,No Ratings,Dealz_LK,Dell
Lenovo ThinkPad T14 Gen 1 Ryzen 5 Pro 4650U • 16GB • 512GB NVMe SSD (REFURBISHED),"Rs. 74,500","Rs. 85,000",-12%,No Ratings,UB18 Computers Pvt Ltd,Lenovo
HP Pro Book 640 G5 Core i5 8th Gen,"Rs. 74,500",,,No Ratings,iPoint Lanka (Pvt)Ltd,HP
DELL Latitude 5480 touch,"Rs. 74,500",,,No Ratings,Computer HUB,Dell
DELL Latitude E5270 – 13″ HD | Intel® Core™ i5 6th Gen | 8GB DDR4 RAM | 256GB m.2 SSD |HDMI |Win 11 Pro A Grade Laptop,"Rs. 74,500","Rs. 82,500",-10%,No Ratings,Dealz_LK,Dell
(REFURBISHED) Lenovo ThinkPad T14 Gen 1 Ryzen 5 Pro 4650U • 16GB • 512GB NVMe SSD,"Rs. 74,500",,,Ratings 5,AcePro Trading Pvt Ltd,Lenovo
"[REFURBISHED] Dell Latitude 7490 , i5 8th Gen 16GB Ram 512GB NVME SSD","Rs. 81,500",,,Ratings 1,AcePro Trading Pvt Ltd,Dell
Dell Latitude 5490 Business Laptop | 14in HD | Intel Core 8th Gen i5-8250U Quad Core | 8GB DDR4 | 256GB,"Rs. 75,000",,,No Ratings,RIGHT -WAY,Dell
Dell Latitude 5400 Laptop 14 Intel Core i5 8th Gen i5-8365U Dual Core 256GB SSD 16GB,"Rs. 75,000",,,No Ratings,RIGHT -WAY,Dell
Dell latitude 3400,"Rs. 75,000",,,No Ratings,FUTURE TECHNOLOGIES (PVT) LTD,Dell
"REFURBISHED Dell Latitude 5490 8th GEN Core i5 16GB RAM , 256 NVME SSD HARD Slim Business model Laptop ,","Rs. 79,000","Rs. 95,000",-17%,No Ratings,iLAP LANKA (PVT) LTD,Dell
Lenovo ThinkPad T470 Core i5 6th Gen | 8GB Ram | 256GB NVMe | Intel® UHD Graphics,"Rs. 75,000",,,No Ratings,PandaeKade,Lenovo
Dell Latitude 7450,"Rs. 75,000",,,Ratings 1,DR Technologies (Pvt) Ltd,Dell
"[REFURBISHED] Hp ProBook 650 G2 , Core i5 6th Gen 15.6 inch Laptop","Rs. 75,000",,,No Ratings,AcePro Trading Pvt Ltd,HP
Dell Latitude E5290 i5 8th Gen 16GB Ram 512GB SSD,"Rs. 75,500",,,Ratings 9,AcePro Trading Pvt Ltd,Dell
HP ELITEBOOK 840 G3 I5/6TH GEN/8GB/256GB SSD/14″ SCREEN LAPTOP,"Rs. 75,900",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,HP
Dell Latitute 5580 i5 7th Gen 15Inch Laptop 16GB Ram 512GB SSD,"Rs. 76,500","Rs. 85,000",-10%,No Ratings,UB18 Computers Pvt Ltd,Dell
Dell Latitude 7300 Core i5 8th gen Premium Business-Class Laptop,"Rs. 76,500","Rs. 96,500",-21%,No Ratings,INOFIX SOLUTIONS,Dell
Dell Latitude 5580 quad core i7 7th Gen 16GB Ram 512GB NVME SSD Nvidia Graphic 15.6inch Laptop,"Rs. 76,500",,,Ratings 4,UB18 Computers Pvt Ltd,Dell
DELL Latitude 5480 Core i5 6th Gen 8GB Ram 256GB SSD Backlight keyboard windows 10 Laptop A Grade,"Rs. 76,500",,,No Ratings,PandaeKade,Dell
HP ProBook 640 G5 Notebook I5 7TH GEN 8GB RAM 256GB SSD LAPTOP,"Rs. 77,000",,,No Ratings,SUHADA COMPUTER CENTER 1639471481,HP
Lenovo T470 - i5 / 6th Gen / 8GB / 256SSD / 14' (Re-New),"Rs. 77,365",,,No Ratings,IT Circle,Lenovo
Dell Latitude 5490 (14″) Core i5-7th Gen,"Rs. 77,500",,,No Ratings,ONESTORE SL,Dell
Dell Latitude 7300 i5 8th Gen 16GB Ram 512GB NVME SSD Laptop,"Rs. 86,500",,,No Ratings,UB18 Computers Pvt Ltd,Dell
Dell Latitude 5400 i5 8th Gen 16GB DDR4 512GB SSD Laptop,"Rs. 82,500",,,No Ratings,UB18 Computers Pvt Ltd,Dell
"[REFURBISHED] Hp ProBook 650 G3 , Core i5 7th Gen 15.6 inch Laptop","Rs. 78,500",,,No Ratings,AcePro Trading Pvt Ltd,HP
DELL Latitude 5490 i5 8th Gen 8GB 256GB SSD Laptop,"Rs. 78,500",,,Ratings 12,AcePro Trading Pvt Ltd,Dell
Refurbished Hp Elitbook 830 G5 Ultrabook i5 8th Gen 13.3 inch Full HD Ips Display,"Rs. 85,000",,,No Ratings,AcePro Trading Pvt Ltd,HP
DELL LATITUDE E5480 Core i5 7th generation 8gb Ram 256gb Ssd harddisk Original Windows 11 Laptop,"Rs. 79,000",,,No Ratings,MIGSEN ENTERPRISES,Dell
